Id,Article Type,Newspaper,City,State,Publication Date,Page,Headline,Sub Headline,Byline,Event,Location of research,Status,Contributor,User Comments,CM Comments,Page URL,Download File,State-Geo,City-Geo,Latitude,Longitude,Type
49822,News Article,The Montgomery Advertiser,Montgomery,Alabama,"Friday, December 18, 1942",13,Extermination Of Jews Will Be Remembered,,UP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Randall Scott,,,https://newspapers.ushmm.org/article/49822,https://www.newspapers.com/clip/85334127/the-montgomery-advertiser/,Alabama,Montgomery,32.3792233,-86.3077368,None
49821,News Article,The Montgomery Advertiser,Montgomery,Alabama,"Sunday, December 20, 1942",6,Extinction Of Jews Claimed,"Only 1000 Left In All Of Jugoslavia, Is Report",UP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Randall Scott,,,https://newspapers.ushmm.org/article/49821,https://www.newspapers.com/clip/85333641/the-montgomery-advertiser/,Alabama,Montgomery,32.3792233,-86.3077368,None
47100,News Article,The Jackson Sun,Jackson,Tennessee,"Thursday, December 17, 1942",7,Retribution For Nazi Execution Jewish Peoples [sic],United States Joins Allied Nations In Strong Protest,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Katherine Vaughan,,,https://newspapers.ushmm.org/article/47100,https://www.newspapers.com/clip/77719941/the-jackson-sun/,Tennessee,Jackson,35.6145169,-88.81394689999999,None
46140,News Article,The Capital Journal,Salem,Oregon,"Thursday, December 17, 1942",1,Massacre of Jews Denounced by Allies,,UP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Amy Pyle,,,https://newspapers.ushmm.org/article/46140,https://www.newspapers.com/clip/76348923/the-capital-journal/,Oregon,Salem,44.9428975,-123.0350963,None
45656,News Article,The Daily Times-News,Burlington,North Carolina,"Thursday, December 17, 1942",1,United States Raps Attacks Against Jews,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Katherine Vaughan,References Rabbi Wise's statement in last paragraph.,"Hi Katherine - I changed this Event to ""Allies Denounce Nazi Plan to 'Exterminate' the Jews"" because that is the one that matches this article. Thanks. -Jennifer",https://newspapers.ushmm.org/article/45656,https://www.newspapers.com/clip/75513044/the-daily-times-news/,North+Carolina,Burlington,36.095894,-79.4372099,None
44226,News Article,The Salisbury Times/The Daily Times,Salisbury,Maryland,"Saturday, December 19, 1942",2,Russians Report Nazi Plan To Kill Jews,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,https://www.newspapers.com/image/280599389/?terms=plan%20to%20kill%20jews&match=1,,https://newspapers.ushmm.org/article/44226,https://www.newspapers.com/clip/70935514/,Maryland,Salisbury,38.3606736,-75.5993692,None
43993,Editorial or Opinion Piece,The Courier-Journal,Louisville,Kentucky,"Friday, December 18, 1942",6,An Appeal To The Dregs,"Hitler's Mass Murder of Jews is a final, desperate attempt to mobilize the anti-Semitism of the World",Samuel Grafton,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Randall Scott,This opinion does not acknowledge the nations condemnation as much as a call for action.,,https://newspapers.ushmm.org/article/43993,https://www.newspapers.com/clip/69124599/,Kentucky,Louisville,38.2526647,-85.7584557,None
43992,News Article,The Courier-Journal,Louisville,Kentucky,"Friday, December 18, 1942",20,U.S. and Other United Nations Join In Pledging Retribution for Nazi Extermination of Jews,Condemnation Is Broadcast World-Wide,Wire and Cable Dispatches,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Randall Scott,,,https://newspapers.ushmm.org/article/43992,https://www.newspapers.com/clip/69123450/,Kentucky,Louisville,38.2526647,-85.7584557,None
43666,News Article,Daily Advertiser,Lafayette,Louisiana,"Saturday, December 19, 1942",1,Vengeance Is Pledged For Killing Jews,Russia Promises To Exact Justice For Crimes Against Jews By Nazis,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,,,https://newspapers.ushmm.org/article/43666,https://www.newspapers.com/clip/68106266/,Louisiana,Lafayette,30.2240897,-92.0198427,None
39792,News Article,The Akron Beacon Journal,Akron,Ohio,"Sunday, December 13, 1942",8A,Allied Statement On Jews Expected,,UP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Amy Pyle,,,https://newspapers.ushmm.org/article/39792,https://www.newspapers.com/clip/61562139/,Ohio,Akron,41.0814447,-81.51900529999999,None
39790,Editorial or Opinion Piece,The Akron Beacon Journal,Akron,Ohio,"Tuesday, December 22, 1942",6,As We See It,Retribution Will Come,,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Amy Pyle,,,https://newspapers.ushmm.org/article/39790,https://www.newspapers.com/clip/61561862/,Ohio,Akron,41.0814447,-81.51900529999999,None
39587,News Article,The State Journal/Lansing State Journal,Lansing,Michigan,"Thursday, December 17, 1942",33,Jew Destruction Policy Condemned,U. S. Pledges That Nazis Responsible 'Shall Not Escape Retribution',,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Margaret Lincoln,,,https://newspapers.ushmm.org/article/39587,https://www.newspapers.com/clip/61503500/,Michigan,Lansing,42.732535,-84.5555347,None
37160,News Article,The Knoxville News-Sentinel,Knoxville,Tennessee,"Sunday, December 20, 1942",A8,"Nazis Denounced by Allies for Slaughter of 85,000 Yugoslav Jews; Only 1000 Left",,UP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Randall Scott,Maybe out of bounds since it only vaguely mentions the allies agreement and is 3 days beyond the 'gold' window.,,https://newspapers.ushmm.org/article/37160,https://www.newspapers.com/clip/58219631/,Tennessee,Knoxville,35.9606384,-83.9207392,None
37159,News Article,The Knoxville News-Sentinel,Knoxville,Tennessee,"Thursday, December 17, 1942",14,United Nations Group Scores Nazi Barbarity,Express Horror at Extermination of Jews; Swear To Visit Retribution ,UP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Randall Scott,,,https://newspapers.ushmm.org/article/37159,https://www.newspapers.com/clip/58218637/,Tennessee,Knoxville,35.9606384,-83.9207392,None
34147,News Article,The Detroit Free Press,Detroit,Michigan,"Saturday, December 5, 1942",15,244 Congressmen Back Jewish Aid,,New York Times Service,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Margaret Lincoln,"The article reports that in response to the Nazi anti-Jewish policy which sought ""to exterminate a whole people,"" 63 senators and 181 representatives sent to President Roosevelt a joint declaration expressing support of this country's traditional policy favoring restoration of a Jewish national homeland in Palestine. The article also references ""horrifying reports which have been pouring in concerning the mass slaughter of European Jews.""","This is a great article Margaret!! I do feel as though it fits better under the ""Allies Denounce Nazi Plan to “Exterminate” the Jews"" event module. While it is a few days before the Allies officially denounced and this article only mentions FDR's response, I believe this article is more about the response rather than the actual announcement of the Nazis' plan. Please let me know if you have any questions or disagree. Keep up the great work! -Megan S.",https://newspapers.ushmm.org/article/34147,https://www.newspapers.com/clip/49963922/,Michigan,Detroit,42.331427,-83.0457538,None
33119,Editorial or Opinion Piece,The Staunton News-Leader/The Evening Leader,Staunton,Virginia,"Monday, December 28, 1942",4,What Others Think,Europe's Blackest Winter,The New York Times,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Jennifer Goss,,"Hi Jennifer,

Awesome new articles from The Staunton News-Leader! All 5 of your articles from Friday, April 10th have been approved.

I'm always excited to see what new articles you find, Jennifer!

- Samantha",https://newspapers.ushmm.org/article/33119,https://www.newspapers.com/clip/48411709/,Virginia,Staunton,38.149576,-79.0716958,None
33118,Other,The Staunton News-Leader/The Evening Leader,Staunton,Virginia,"Wednesday, December 30, 1942",2,Netherlands Ghetto Marked by Signposts,,,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Jennifer Goss,"I am not sure of the provenance of the faint watermark. Also, the caption mentions the killing of the Jews of Europe.",,https://newspapers.ushmm.org/article/33118,https://www.newspapers.com/clip/48411174/,Virginia,Staunton,38.149576,-79.0716958,None
33117,Editorial or Opinion Piece,The Staunton News-Leader/The Evening Leader,Staunton,Virginia,"Wednesday, December 23, 1942",4,What Others Think,Hitler's Terror,The New York Times,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Jennifer Goss,,,https://newspapers.ushmm.org/article/33117,https://www.newspapers.com/clip/48410582/,Virginia,Staunton,38.149576,-79.0716958,None
33115,News Article,The Staunton News-Leader/The Evening Leader,Staunton,Virginia,"Tuesday, December 22, 1942",4,"""On The Record""",Hitler And The Army IV,Dorothy Thompson,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Jennifer Goss,,,https://newspapers.ushmm.org/article/33115,https://www.newspapers.com/clip/48410349/,Virginia,Staunton,38.149576,-79.0716958,None
33114,News Article,The Staunton News-Leader/The Evening Leader,Staunton,Virginia,"Tuesday, December 29, 1942",2,Loyal Americans Of German Descent Issue Call For Nazi Overthrow,,,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Jennifer Goss,,,https://newspapers.ushmm.org/article/33114,https://www.newspapers.com/clip/48409945/,Virginia,Staunton,38.149576,-79.0716958,None
33074,News Article,The Staunton News-Leader/The Evening Leader,Staunton,Virginia,"Thursday, December 17, 1942",2,Commons Protest,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Jennifer Goss,,Nice find! ~Wendy,https://newspapers.ushmm.org/article/33074,https://www.newspapers.com/clip/48257597/,Virginia,Staunton,38.149576,-79.0716958,None
33072,News Article,Iowa City Press-Citizen,Iowa City,Iowa,"Thursday, December 17, 1942",1,"Allies Pledge Nazis ""Shall Not Escape Retribution"" for ""Bestial Policy"" In Europe",,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Elizabeth Hedlund,,,https://newspapers.ushmm.org/article/33072,https://www.newspapers.com/clip/48252872/,Iowa,Iowa+City,41.6611277,-91.5301683,None
26005,News Article,The Daily Mail,Hagerstown,Maryland,"Thursday, December 17, 1942",20,U.S. Joins in Condemning Slaughter,Germany's Bestial Policy Of Cold-blooded Killings To Bring Retribution,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Ryan Bellafiore,Note that this article is on the last page of this publication.,"Please include the byline for your entries. Here is a good guide to help you find and record bylines: https://newspapers.ushmm.org/blog/2017/09/12/what-exactly-are-bylines/

You are the first person to find and submit this entry. Good observation about the placement of the article in the newspaper issue. You can think about the implications that has for readership. Great work, Ryan! -Eric",https://newspapers.ushmm.org/article/26005,https://www.newspapers.com/clip/31780304/,Maryland,Hagerstown,39.6417629,-77.71999319999999,None
24776,News Article,The Des Moines Register,Des Moines,Iowa,"Thursday, December 17, 1942",3,Would Warn Of Reprisals,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,https://desmoinesregister.newspapers.com,Published,Elliot Magalhaes,,"This is a good, relevant article submission, Elliot. Another citizen historian had uploaded it in the past. Since we are eager for new material for the database, in the future, you can go to ""Menu"" and ""Explore User Research"" and search by ""Newspaper"" to see if we have already published the article. Thanks for your dedication to History Unfolded! -Eric",https://newspapers.ushmm.org/article/24776,https://www.newspapers.com/clip/30363948/,Iowa,Des+Moines,41.5868353,-93.6249593,None
22254,News Article,The Des Moines Register,Des Moines,Iowa,"Monday, December 28, 1942",7,German-Americans Urge Hitler's Ouster,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Steven Braverman,,"On to ""noteworthy findings"". -Eric",https://newspapers.ushmm.org/article/22254,https://www.newspapers.com/clip/26490259/,Iowa,Des+Moines,41.5868353,-93.6249593,None
22253,News Article,The Des Moines Register,Des Moines,Iowa,"Thursday, December 17, 1942",3,Would  Warn Of Reprisals,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Steven Braverman,,,https://newspapers.ushmm.org/article/22253,https://www.newspapers.com/clip/26490076/,Iowa,Des+Moines,41.5868353,-93.6249593,None
21292,News Article,Reno Evening Gazette (aka Gazette Journal),Reno,Nevada,"Thursday, December 17, 1942",1,Jewish Policy Again Assailed,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Steven Braverman,,,https://newspapers.ushmm.org/article/21292,https://www.newspapers.com/clip/25124812/,Nevada,Reno,39.529919,-119.8142691,None
20636,News Article,The Nashville Tennessean,Nashville,Tennessee,"Friday, December 18, 1942",31,U.S. Condemns Killing of Jews,United Nations Join In Making Pledge For Retribution,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Steven Braverman,,,https://newspapers.ushmm.org/article/20636,https://www.newspapers.com/clip/24817017/,Tennessee,Nashville,36.1626638,-86.7816016,None
20484,Letter to the Editor,The Indianapolis Star,Indianapolis,Indiana,"Saturday, December 19, 1942",8,German War Atrocities,,,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Caitlin Downey,This letter to the editor condemns Nazi war crimes and urges others to remain firm in their condemnation to build a better and more tolerant world after the war.,"Caitlin,

Although this letter doesn't explicitly mention the Nazi extermination plan for the Jews, nor the Allied condemnation, it's likely from the timing of the letter that it was inspired by the announcement by the Allies a few days earlier.

This is a really good find.

/David",https://newspapers.ushmm.org/article/20484,https://www.newspapers.com/clip/24646478/,Indiana,Indianapolis,39.768403,-86.158068,None
20480,News Article,Lafayette Journal and Courier,Lafayette,Indiana,"Tuesday, December 29, 1942",14,Churches to Have Services Marking New Year Arrival,,,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Leeah Mahon,"This is talking about the Tippecanoe County Ministerial Association responding to the President's denunciation of the murder of Jews by not only doing the same, but asks other churches to include special prayers for Jews in conquered nations.","I'm adding this to a noteworthy findings document I keep, as the article reveals local responses in Indiana. Great work, Leeah! -Eric",https://newspapers.ushmm.org/article/20480,https://www.newspapers.com/clip/24646146/,Indiana,Lafayette,40.4167022,-86.87528689999999,None
20466,News Article,The Palladium-Item and Sun-Telegram,Richmond,Indiana,"Thursday, December 17, 1942",11,America Joins Pledge to Punish Jews' Oppressors,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Stasia Tanzer,This article reports on the United Nations' statement to denounce Jewish extermination by Nazis.,"Stasia,

Good find. Thanks for sharing it with us.  Be careful when using Newspapers.com to always look at the page number on the newspaper scan itself. Do not rely simply on what Newspapers.com interface says. This article, for example, was on page 11, not page 25.

Thanks again.

/David",https://newspapers.ushmm.org/article/20466,https://www.newspapers.com/clip/24646147/,Indiana,Richmond,39.8289369,-84.8902382,None
20463,News Article,The Palladium-Item and Sun-Telegram,Richmond,Indiana,"Wednesday, November 25, 1942",7,Half of Europe's Jews Die in 'Extermination' Drive,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Dalton Gackle,"Nicknames for racial/national groups (Japs, Jews, etc.)","Dalton,

Thanks for the research. Well done!

There's something jarring about seeing this headline juxtaposed with Donald Duck, Joe Palooka, Popeye, and other comic strips.

/David",https://newspapers.ushmm.org/article/20463,https://www.newspapers.com/clip/24646037/,Indiana,Richmond,39.8289369,-84.8902382,None
20458,Editorial or Opinion Piece,Lafayette Journal and Courier,Lafayette,Indiana,"Wednesday, December 23, 1942",6,Unexampled Barbarity,,,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Caitlin Downey,This article highlights the importance of retribution for Nazi war crimes. Condemnation by Allied governments isn't enough. The Allies must be willing to follow through on their promises of punishment.,"I'm adding this to my ""noteworthy findings"" document. Good work, Caitlin! -Eric",https://newspapers.ushmm.org/article/20458,https://www.newspapers.com/clip/24645989/,Indiana,Lafayette,40.4167022,-86.87528689999999,None
20423,News Article,Lafayette Journal and Courier,Lafayette,Indiana,"Saturday, December 19, 1942",1,Soviets Promise Jews Vengeance For Nazi Cruelty,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Stasia Tanzer,In this article it is announced that the Soviet Union made an additional statement regarding Nazi punishment after the United Nations' original denunciation of Jewish extermination.,,https://newspapers.ushmm.org/article/20423,https://www.newspapers.com/clip/24645524/,Indiana,Lafayette,40.4167022,-86.87528689999999,None
