Id,Article Type,Newspaper,City,State,Publication Date,Page,Headline,Sub Headline,Byline,Event,Location of research,Status,Contributor,User Comments,CM Comments,Page URL,Download File,State-Geo,City-Geo,Latitude,Longitude
60722,News Article,The Daily Oklahoman,Oklahoma City,Oklahoma,"Thursday, December 3, 1942",12,Jewish Congress Says Nazis Use Mass Killing,,UP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,,,https://newspapers.ushmm.org/article/60722,https://www.newspapers.com/clip/106718129/the-daily-oklahoman/,Oklahoma,Oklahoma+City,35.4675602,-97.5164276
60344,News Article,The Battle Creek Enquirer and News/The Battle Creek Enquirer and-The Evening News,Battle Creek,Michigan,"Friday, December 11, 1942",20,Million Polish Jews Are Reported Killed,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Margaret Lincoln,"Article mentions Gestapo chief Heinrich Himmler having ""called by decree last March for the wiping out of 50 percent of the Polish Jews by the end of 1942.""",,https://newspapers.ushmm.org/article/60344,https://www.newspapers.com/clip/106257571/million-polish-jews-are-reported-killed/,Michigan,Battle+Creek,42.3211522,-85.17971419999999
60342,News Article,The Battle Creek Enquirer and News/The Battle Creek Enquirer and-The Evening News,Battle Creek,Michigan,"Friday, December 4, 1942",16,"Million Jews Slain in Poland, Is Charge",,UP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Margaret Lincoln,"Article references statement by Dr. Henryk Strasburger, finance minister of the Polish government-in-exile that at least 1,000,000 Polish Jews have been executed in the ""Human slaughter houses"" set up by the Nazis in Poland.",,https://newspapers.ushmm.org/article/60342,https://www.newspapers.com/clip/106256757/million-jews-slain-in-poland-is-charge/,Michigan,Battle+Creek,42.3211522,-85.17971419999999
60216,News Article,Borger Daily Herald,Borger,Texas,"Tuesday, November 24, 1942",6,One-Half Of Jews Ordered Killed,,AP,Nazi Plan to Kill All Jews Confirmed,The Portal to Texas History (https://texashistory.unt.edu/),Published,A. Throckmorton,https://texashistory.unt.edu/ark:/67531/metapth737583/m1/6/zoom/?q=Borger%20Daily%20Herald%20November%201942&resolution=3&lat=5468.5&lon=3117.5,,https://newspapers.ushmm.org/article/60216,https://newspapers.ushmm.org/manager/article/photo/39513/original,Texas,Borger,35.6678203,-101.3973876
59976,News Article,The Macon Telegraph/The Macon Telegraph and News,Macon,Georgia,"Thursday, December 3, 1942",5,"Poland Is Nazi Slaughterhouse, Dickstein Declares",Solon Urges Vatican Speak On 'Slaughters',AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Margaret Lincoln,"Article references information shared by Representative Dickstein (D-N.Y.) that according to the Polish government in exile, Heinrich Himmler had ordered the extermination of 1,500,000 Jews in Poland",,https://newspapers.ushmm.org/article/59976,https://www.newspapers.com/clip/105547053/poland-is-nazi-slaughterhouse-dickstein/,Georgia,Macon,32.8406946,-83.6324022
59922,Editorial or Opinion Piece,El Sol,Phoenix,Arizona,"Friday, December 25, 1942",3,Horrenda Campaña AntiJudia,,,Nazi Plan to Kill All Jews Confirmed,Library of Congress,Published,Lee Pennington,"The paper denounces the Nazi campaign of extermination. 

Note: In the previous Issue, December 18, there is an article on page 2 detailing anti-Christian Nazi sentiments, with no mention of Jews.

[Community Manager note: This editorial can also be found digitized via the Arizona Memory Project here: https://azmemory.azlibrary.gov/digital/collection/elsol/id/5719/rec/85]","This looks more like an editorial (at least the part at the end) and I believe the page is 3. This piece is fascinating! While some people did use the term holocaust to describe the killing of Jews as early as 1942, the term did not widely refer to the extermination of Jews during this time until after WWII.  I am going to add this to our list of ""significant"" findings. Thank you very much! -Eric",https://newspapers.ushmm.org/article/59922,https://newspapers.ushmm.org/manager/article/photo/39368/original,Arizona,Phoenix,33.4483771,-112.0740373
53140,News Article,Ventura County Star-Free Press,Ventura,California,"Tuesday, November 24, 1942",4,Himmler Orders Death For Half Of Jews In Poland,,UP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sam Bova,"It struck me that this news story was on page 4, allotted relatively the same amount of space as stories like ""Here's How To Start Your Winter Victory Garden."" It would seem that the news of the Jewish Extermination Plan should require more priority.","Hello Sam, thank you for your latest submissions, you found two great articles from the Ventura County Star-Free Press! They're now approved. You make a good comment on the placement of the article in the newspaper, it's always interesting to note where editors decide to feature such important news. Thank you, keep up the good work! –Nadia",https://newspapers.ushmm.org/article/53140,https://www.newspapers.com/clip/90355723/,California,Ventura,34.2804923,-119.2945199
52591,News Article,Moberly Monitor-Index and Moberly Evening Democrat,Moberly,Missouri,"Tuesday, November 24, 1942",3,"250,000 Jews Reported Killed, More Marked for Extermination",,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Amy Minton,"Report from Polish government in exile about Jews in Poland.

Link to article:
https://www.newspapers.com/clip/89432606/ext-250000-jews-reported-killed-more/","Hello Amy, your submissions from November and earlier this month have been reviewed, thank you! Regarding this article, considering the publication date, I changed the Event; it looks like there may be a confusion between our two late 1942 modules ""Nazi Plan to Kill All Jews Confirmed"" (key date Nov 24) and the ""Allies Denounce Nazi Plan"" (mid-December, Joint Allies/UN Declaration). They're indeed a bit tricky and I actually edited another of your finds that was a better fit for the Allies Denounce module, rather than Nazi Plan to Kill All Jews. 
See https://newspapers.ushmm.org/events/nazi-plan-to-kill-all-jews-confirmed
and https://newspapers.ushmm.org/events/allies-denounce-nazi-plan-to-exterminate-the-jews
Let us know if you have questions. I'm sending some more feedback separately, thank you for your great work! –Nadia",https://newspapers.ushmm.org/article/52591,https://www.newspapers.com/clip/89432606/ext-250000-jews-reported-killed-more/,Missouri,Moberly,39.4183689,-92.43823669999999
47349,News Article,The Daily Journal/The Vineland Evening Times/The Vineland Times Journal,Vineland,New Jersey,"Wednesday, November 25, 1942",3,Wise Calls Meeting To Discuss Hitler's Extermination Order,,UP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Javier Edghill-Rohena,Rabbi Wise called a conference to discuss Hitler's extermination orders that was confirmed by the State Department.,"Hello Javier, thank you for your contribution to History Unfolded, your article is a great new addition to our ""Nazi Plan to Kill All Jews Confirmed"" event module! Your data looks great, I just removed ""Page"" in the page number field and added the URLs to the Newspapers.com website so we can have easier access to the article. We look forward to your next finds! –Nadia",https://newspapers.ushmm.org/article/47349,https://www.newspapers.com/clip/78347293/,New+Jersey,Vineland,39.4863773,-75.02596369999999
47101,News Article,The Jackson Sun,Jackson,Tennessee,"Thursday, December 10, 1942",10,CHIEF REAFFIRMS HIS CONCERN FOR JEWS OF EUROPE,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Katherine Vaughan,Small article about AJC's presentation of evidence to Pres. Roosevelt.,,https://newspapers.ushmm.org/article/47101,https://www.newspapers.com/clip/77720075/the-jackson-sun/,Tennessee,Jackson,35.6145169,-88.81394689999999
47099,News Article,The Jackson Sun,Jackson,Tennessee,"Wednesday, November 25, 1942",1,Discuss Hitler Drive To Kill Half Of Jews,Committee Of Leading Jewish Groups Hear Doctor Wise,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Katherine Vaughan,"Front page below the fold, day after Rabbi Wise's press conference.",,https://newspapers.ushmm.org/article/47099,https://www.newspapers.com/clip/77719879/the-jackson-sun/,Tennessee,Jackson,35.6145169,-88.81394689999999
47016,News Article,Port Huron Times-Herald/The Times Herald,Port Huron,Michigan,"Wednesday, November 25, 1942",3,Nazis Killing Europe's Jews,"To Complete Extermination This Year, FDR Hears",AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sarah Biddick,,"Hi Sarah,

Awesome work! I have approved 4 out of 7 your submissions from Thursday, May 13th through Friday, May 14th. Thank you for bringing us 4 brand new articles for the Nazi Plan to Kill All Jews Confirmed event module!

Please see my comments on the 3 articles I could not approve for the reason why.

I'm excited to see what new articles you will bring us next!

- Samantha",https://newspapers.ushmm.org/article/47016,https://www.newspapers.com/clip/77691537/,Michigan,Port+Huron,42.9708634,-82.42491419999999
46350,News Article,Bergen Evening Record/The Record/The Evening Record,Hackensack,New Jersey,"Saturday, January 9, 1943",4,"Evidence Of Anti-Semitism Here, Says Rev. Alexander",Pastor Of Lyndhurst Methodist Church Declares It's In His Own Town and Other Towns,,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Miguel Arroz,It explains that not only is Hitler planning to kill the Jews in Europe but people here in New Jersey are thinking of doing the same.,"Hello Miguel, thank you for your contribution to History Unfolded, this is a very interesting local piece! It was published a bit too late for our ""Nazi Plan to Kill All Jews Confirmed"" event module, which focuses on late November and December 1942. However, since it mentions both ""Hitler's plan to exterminate Europe's Jews"" and Rabbi Wise (and it's not so long after December 1942!), it makes for a great new addition to the database.  
For future reference, please make sure to check the scope and dates guideline of our events at https://newspapers.ushmm.org/events/events-all?from=global-nav. Keep up the good work, Miguel, we look forward to your next finds! –Nadia",https://newspapers.ushmm.org/article/46350,https://www.newspapers.com/clip/76118847/,New+Jersey,Hackensack,40.8859325,-74.0434736
46144,Editorial or Opinion Piece,The Capital Journal,Salem,Oregon,"Tuesday, December 8, 1942",4,History's Greatest Massacre,,,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Amy Pyle,,,https://newspapers.ushmm.org/article/46144,https://www.newspapers.com/clip/76350775/the-capital-journal/,Oregon,Salem,44.9428975,-123.0350963
45795,News Article,The Knoxville News-Sentinel,Knoxville,Tennessee,"Wednesday, November 25, 1942",10,Report Himmler Orders Jews Die,Say Gestapo Head Would Kill 50 Per Cent in Poland.,UP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,zoe lowe,,"Hello Zoe, thank you for your contribution to History Unfolded! You may have noticed that another user previously submitted the article above yours on the page, so it's great to have both in the collection now. I just added the sub-headline for you, and, per our convention, changed ""united press"" to UP. Keep up the good work, we look forward to your next finds! –Nadia",https://newspapers.ushmm.org/article/45795,https://www.newspapers.com/clip/76116915/the-knoxville-news-sentinel/,Tennessee,Knoxville,35.9606384,-83.9207392
44439,Editorial or Opinion Piece,The Courier-Journal,Louisville,Kentucky,"Tuesday, December 22, 1942",6,Revolution In Germany?,Miss Thompson believes conditions are ripe for it if only we can discover how to exploit them fully,Dorothy Thompson,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Randall Scott,"Article refers to the blood-curdling massacre of all European Jews.  It also describes a December 17, Tass report from Moscow that the German High Command, at the request of Himmler, were putting in motion the support.","Hello Randall, this is a great find, thank you. I think it may be a better fit for our ""Nazi Plan to Kill All Jews Confirmed"" as Dorothy Thompson focuses partly, as you pointed out, on a ""blood-curdling massacre of all European Jews"", even though the date is a bit late and the Dec 17 ""Tass report"" is an interesting mention.     
I didn't approve the ""Appeal To The Dregs"" piece as it's been previously approved. 
Great work as always, thank you. –Nadia",https://newspapers.ushmm.org/article/44439,https://www.newspapers.com/clip/71586143/,Kentucky,Louisville,38.2526647,-85.7584557
44228,News Article,The Asbury Park Press/The Evening Press/Asbury Park Evening Press,Asbury Park,New Jersey,"Thursday, December 3, 1942",1,Rabbi Urges World Pact,,,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,https://www.newspapers.com/image/144275942/?terms=plan%20to%20kill%20jews&match=1,,https://newspapers.ushmm.org/article/44228,https://www.newspapers.com/clip/70940563/,New+Jersey,Asbury+Park,40.2203907,-74.0120817
43664,News Article,Daily Advertiser,Lafayette,Louisiana,"Friday, December 11, 1942",1,Two Million Jews Slain By The Nazis,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,,,https://newspapers.ushmm.org/article/43664,https://www.newspapers.com/clip/68098218/,Louisiana,Lafayette,30.2240897,-92.0198427
43663,News Article,Daily Advertiser,Lafayette,Louisiana,"Tuesday, November 24, 1942",1,Nazis Order Extermination Jews In Poland,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,,,https://newspapers.ushmm.org/article/43663,https://www.newspapers.com/clip/68096931/,Louisiana,Lafayette,30.2240897,-92.0198427
43662,News Article,Daily Advertiser,Lafayette,Louisiana,"Thursday, November 26, 1942",3,Jewish Groups Study German Drive On Jews,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,,,https://newspapers.ushmm.org/article/43662,https://www.newspapers.com/clip/68095652/,Louisiana,Lafayette,30.2240897,-92.0198427
40475,News Article,Appleton Post-Crescent,Appleton,Wisconsin,"Wednesday, November 25, 1942",1,Outlines Details of Alleged Plan To Exterminate Jews in Europe,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Ila Jones,The main form of killing hypothesized was injecting air bubbles into the veins by doctors not gassing.,"Hello Ila, thank you for your Appleton Post-Crescent submissions during the Sprint last week, they're all great new additions to the collection! I just edited your sub-headline fields: when there is more than one sub-headline, we usually only enter the first one in the designated field and the others in the User Comments field, so as not to crowd the sub-headline field (I edited your submissions accordingly). Thank you for your great work, we look forward to other finds from you! –Nadia",https://newspapers.ushmm.org/article/40475,https://www.newspapers.com/clip/61780595/,Wisconsin,Appleton,44.2619309,-88.41538469999999
40474,News Article,Appleton Post-Crescent,Appleton,Wisconsin,"Tuesday, November 24, 1942",1,Say Polish Jews Being Massacred,"London Informed 250,000 Slain at Himmler's Orders",AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Ila Jones,Polish government-in-exile spreads the news about extermination camps in Poland,,https://newspapers.ushmm.org/article/40474,https://www.newspapers.com/clip/61780119/,Wisconsin,Appleton,44.2619309,-88.41538469999999
39999,News Article,The Austin American,Austin,Texas,"Wednesday, November 25, 1942",1,Half of Jews in Poland Are Ordered Killed by End of Year,,UP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Mary Allred,,,https://newspapers.ushmm.org/article/39999,https://www.newspapers.com/clip/61628848/,Texas,Austin,30.267153,-97.7430608
39997,News Article,The Austin Statesman/The Austin American-Statesman,Austin,Texas,"Wednesday, November 25, 1942",11,Rabbi Charges Nazi MD's Following Hitler Command To Exterminate All Jews,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Mary Allred,,,https://newspapers.ushmm.org/article/39997,https://www.newspapers.com/clip/61628029/,Texas,Austin,30.267153,-97.7430608
39995,News Article,The Austin Statesman/The Austin American-Statesman,Austin,Texas,"Tuesday, November 24, 1942",1,Half Of Polish Jews Doomed,,UP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Mary Allred,,,https://newspapers.ushmm.org/article/39995,https://www.newspapers.com/clip/61627708/,Texas,Austin,30.267153,-97.7430608
39788,Editorial or Opinion Piece,The Akron Beacon Journal,Akron,Ohio,"Saturday, November 28, 1942",6,As We See It,No Exaggerations This Time,,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Amy Pyle,,"Amy,

Your submission has been published.

Congratulations.

Peter G.",https://newspapers.ushmm.org/article/39788,https://www.newspapers.com/clip/61561216/,Ohio,Akron,41.0814447,-81.51900529999999
39589,News Article,The State Journal/Lansing State Journal,Lansing,Michigan,"Wednesday, November 25, 1942",1,New Nazi Purge Aimed At Jews,Hitler Orders All Members of Race in Europe to Be Killed This Year,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Margaret Lincoln,The article points to details of a campaign to exterminate all Jews in Nazi-occupied Europe by the end of the year and mentions that the story had reportedly been confirmed by the State Department and a personal representative of President Roosevelt.,,https://newspapers.ushmm.org/article/39589,https://www.newspapers.com/clip/61504269/new-nazi-purge-aimed-at-jews/,Michigan,Lansing,42.732535,-84.5555347
39586,Editorial or Opinion Piece,The State Journal/Lansing State Journal,Lansing,Michigan,"Sunday, November 29, 1942",8,Murder the Jews,,,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Margaret Lincoln,This editorial piece calls out Adolf Hitler for having ordered the “extermination of all Jews in Nazi ruled Europe in 1942.”,,https://newspapers.ushmm.org/article/39586,https://www.newspapers.com/clip/61503013/murder-the-jews/,Michigan,Lansing,42.732535,-84.5555347
39558,News Article,The Akron Beacon Journal,Akron,Ohio,"Thursday, November 26, 1942",21,"Kill Half Of Jews, Nazi Aim In Poland",,UP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Amy Pyle,,,https://newspapers.ushmm.org/article/39558,https://www.newspapers.com/clip/61498397/,Ohio,Akron,41.0814447,-81.51900529999999
39355,News Article,The Montgomery Advertiser,Montgomery,Alabama,"Thursday, November 26, 1942",19,Jewish Day For Mourning Fixed,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Gary Opper,,"Good find. Thank you Gary!
-David K.",https://newspapers.ushmm.org/article/39355,https://www.newspapers.com/clip/61427064/,Alabama,Montgomery,32.3792233,-86.3077368
37158,News Article,The Knoxville News-Sentinel,Knoxville,Tennessee,"Sunday, November 29, 1942",B9,World Jews Asked To Pray Wednesday,Mourn for 2 Million Slain and Others' Impending Doom,UP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Randall Scott,[page date is November 19 but other pages show November 29],,https://newspapers.ushmm.org/article/37158,https://www.newspapers.com/clip/58217139/,Tennessee,Knoxville,35.9606384,-83.9207392
34310,News Article,The Nashville Tennessean,Nashville,Tennessee,"Sunday, December 20, 1942",5,"Only 1,000 Yugoslav Jews Alive, 85,000 Slain, Report Declares",Poland Said Turned Into Slaughter House As Germans Plan To Exterminate Hebrew Race,UP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Judy Johnstone,"The article provides an excellent summary of the atrocities in several countries as the Nazis exterminate the Jews.

It was difficult to distinguish between AP and UP. I thought it looked more like UP when I compared it to other articles in the newspaper.","Hi Judy,

This is a great article find! I agree, it looks like a UP article (they put the letters so close together that it can make it hard to distinguish sometimes). This article has been approved!

Thank you for this new addition to the database from the Nashville Tennessean!

- Samantha",https://newspapers.ushmm.org/article/34310,https://www.newspapers.com/clip/50006416/,Tennessee,Nashville,36.1626638,-86.7816016
34280,News Article,The Nashville Tennessean,Nashville,Tennessee,"Wednesday, December 9, 1942",16,Nazi Killers Said Marked for Trial,Jewish Extermination Order Reported To Roosevelt,INS,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Judy Johnstone,,"Hi Judy,

Great work! 2/3 of your submissions from Friday, May 1st have been approved. One was not approved due to it already being in the database.

Keep up all the great work, Judy! We appreciate it!

- Samantha",https://newspapers.ushmm.org/article/34280,https://www.newspapers.com/clip/49997460/,Tennessee,Nashville,36.1626638,-86.7816016
34150,News Article,The Detroit Free Press,Detroit,Michigan,"Tuesday, December 1, 1942",4,Detroit Jews to Join in Day of Mourning,,,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Margaret Lincoln,"The article speaks of Orthodox Jews participating in a worldwide Jewish day of fast & mourning as requested by the Chief Rabbinate of Palestine and ""following a request from Rabbi Stephen S. Wise, president of the American Jewish Congress."" The day would be devoted to mourning for Jewish victims of the greatest crime against humanity being perpetrated by the Hitler regime resulting in the massacre of more than a million and a half Jews.",,https://newspapers.ushmm.org/article/34150,https://www.newspapers.com/clip/49965002/,Michigan,Detroit,42.331427,-83.0457538
